instanceid,id,opmode,entityid,observedat,subproperties,unitcode,datasetid,valuetype,text,boolean,number,datetime,compound,geopoint,geomultipoint,geopolygon,geomultipolygon,geolinestring,geomultilinestring,ts
urn:ngsi-ld:attribute:instance:6b32f972-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windSpeed,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8058X,2026-04-07 09:00:00,f,MTS,None,Number,,,3,,,,,,,,,2026-04-07 09:51:58.669000
urn:ngsi-ld:attribute:instance:6b32fa26-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windDirection,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8058X,2026-04-07 09:00:00,f,DD,None,Number,,,11,,,,,,,,,2026-04-07 09:51:58.669000
urn:ngsi-ld:attribute:instance:6b32fac6-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/precipitation,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8058X,2026-04-07 09:00:00,f,MMT,None,Number,,,0,,,,,,,,,2026-04-07 09:51:58.669000
urn:ngsi-ld:attribute:instance:6b32fb66-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/dateObserved,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8058X,,f,,None,Compound,,,,,"{""@type"": ""DateTime"", ""@value"": ""2026-04-07T09:00:00+0000""}",,,,,,,2026-04-07 09:51:58.669000
urn:ngsi-ld:attribute:instance:6b350514-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/latitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8058Y,2026-04-07 09:00:00,f,,None,Number,,,38.950299,,,,,,,,,2026-04-07 09:51:58.681000
urn:ngsi-ld:attribute:instance:6b350654-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/longitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8058Y,2026-04-07 09:00:00,f,,None,Number,,,-0.137697,,,,,,,,,2026-04-07 09:51:58.681000
urn:ngsi-ld:attribute:instance:6b350708-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/temperature,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8058Y,2026-04-07 09:00:00,f,CEL,None,Number,,,17.6,,,,,,,,,2026-04-07 09:51:58.681000
urn:ngsi-ld:attribute:instance:6b3507bc-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/relativeHumidity,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8058Y,2026-04-07 09:00:00,f,P1,None,Number,,,52,,,,,,,,,2026-04-07 09:51:58.681000
urn:ngsi-ld:attribute:instance:6b35085c-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windSpeed,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8058Y,2026-04-07 09:00:00,f,MTS,None,Number,,,2.5,,,,,,,,,2026-04-07 09:51:58.681000
urn:ngsi-ld:attribute:instance:6b350906-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windDirection,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8058Y,2026-04-07 09:00:00,f,DD,None,Number,,,14,,,,,,,,,2026-04-07 09:51:58.681000
urn:ngsi-ld:attribute:instance:6b3509ba-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/precipitation,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8058Y,2026-04-07 09:00:00,f,MMT,None,Number,,,0,,,,,,,,,2026-04-07 09:51:58.681000
urn:ngsi-ld:attribute:instance:6b350a64-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/dateObserved,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8058Y,,f,,None,Compound,,,,,"{""@type"": ""DateTime"", ""@value"": ""2026-04-07T09:00:00+0000""}",,,,,,,2026-04-07 09:51:58.681000
urn:ngsi-ld:attribute:instance:6b36abb2-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/latitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8059C,2026-04-07 09:00:00,f,,None,Number,,,38.710917,,,,,,,,,2026-04-07 09:51:58.694000
urn:ngsi-ld:attribute:instance:6b36aca2-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/longitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8059C,2026-04-07 09:00:00,f,,None,Number,,,-0.460071,,,,,,,,,2026-04-07 09:51:58.694000
urn:ngsi-ld:attribute:instance:6b36ad56-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/temperature,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8059C,2026-04-07 09:00:00,f,CEL,None,Number,,,15.2,,,,,,,,,2026-04-07 09:51:58.694000
urn:ngsi-ld:attribute:instance:6b36ae00-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/relativeHumidity,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8059C,2026-04-07 09:00:00,f,P1,None,Number,,,60,,,,,,,,,2026-04-07 09:51:58.694000
urn:ngsi-ld:attribute:instance:6b36aeaa-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windSpeed,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8059C,2026-04-07 09:00:00,f,MTS,None,Number,,,1.6,,,,,,,,,2026-04-07 09:51:58.694000
urn:ngsi-ld:attribute:instance:6b36af4a-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windDirection,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8059C,2026-04-07 09:00:00,f,DD,None,Number,,,90,,,,,,,,,2026-04-07 09:51:58.694000
urn:ngsi-ld:attribute:instance:6b36afea-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/precipitation,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8059C,2026-04-07 09:00:00,f,MMT,None,Number,,,0,,,,,,,,,2026-04-07 09:51:58.694000
urn:ngsi-ld:attribute:instance:6b36b094-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/dateObserved,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8059C,,f,,None,Compound,,,,,"{""@type"": ""DateTime"", ""@value"": ""2026-04-07T09:00:00+0000""}",,,,,,,2026-04-07 09:51:58.694000
urn:ngsi-ld:attribute:instance:6b381fec-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/latitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8300X,2026-04-07 09:00:00,f,,None,Number,,,39.113382,,,,,,,,,2026-04-07 09:51:58.703000
urn:ngsi-ld:attribute:instance:6b382118-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/longitude,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8300X,2026-04-07 09:00:00,f,,None,Number,,,-0.445908,,,,,,,,,2026-04-07 09:51:58.703000
urn:ngsi-ld:attribute:instance:6b3821b8-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/temperature,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8300X,2026-04-07 09:00:00,f,CEL,None,Number,,,17.1,,,,,,,,,2026-04-07 09:51:58.703000
urn:ngsi-ld:attribute:instance:6b382262-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/relativeHumidity,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8300X,2026-04-07 09:00:00,f,P1,None,Number,,,59,,,,,,,,,2026-04-07 09:51:58.703000
urn:ngsi-ld:attribute:instance:6b38230c-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windSpeed,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8300X,2026-04-07 09:00:00,f,MTS,None,Number,,,0.9,,,,,,,,,2026-04-07 09:51:58.703000
urn:ngsi-ld:attribute:instance:6b3823ac-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/windDirection,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8300X,2026-04-07 09:00:00,f,DD,None,Number,,,212,,,,,,,,,2026-04-07 09:51:58.703000
urn:ngsi-ld:attribute:instance:6b382456-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/precipitation,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8300X,2026-04-07 09:00:00,f,MMT,None,Number,,,0,,,,,,,,,2026-04-07 09:51:58.703000
urn:ngsi-ld:attribute:instance:6b3824f6-3267-11f1-aa61-f2be50ea1c5b,https://uri.etsi.org/ngsi-ld/default-context/dateObserved,Replace,urn:ngsi-ld:WeatherObserved:AEMET:8300X,,f,,None,Compound,,,,,"{""@type"": ""DateTime"", ""@value"": ""2026-04-07T09:00:00+0000""}",,,,,,,2026-04-07 09:51:58.703000
